Site Name,Latitude,Longitude,Site Enabled,Device Name,Device Type,Max Power (dBm),Misc Loss (dB),Antenna Type,Mechanical Azimuth (deg),Mechanical Downtilt (deg),Electrical Downtilt (deg),Antenna Height AGL (m),Beamforming Gain (dB),LTE PDSCH Offset (dB),Cell Load (%)
S1135,31.8440465,-94.6360040,true,LTE-ENodeB-2022,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1136,31.8842287,-94.4990158,true,LTE-ENodeB-2023,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1137,31.5446922,-93.9003322,true,LTE-ENodeB-2024,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1138,31.4435035,-93.9281863,true,LTE-ENodeB-2025,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1139,31.4225081,-93.9997982,true,LTE-ENodeB-2026,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S114,29.9830254,-96.3617036,true,LTE-ENodeB-1102,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1140,31.3504658,-93.9456678,true,LTE-ENodeB-2027,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1141,31.2073751,-94.0073212,true,LTE-ENodeB-2028,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1142,31.3828196,-93.8693982,true,LTE-ENodeB-2029,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1143,31.1725340,-93.8362990,true,LTE-ENodeB-2030,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1144,31.3261775,-93.8649302,true,LTE-ENodeB-2031,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1145,31.9391350,-94.3050706,true,LTE-ENodeB-205,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1146,31.8746395,-94.3255757,true,LTE-ENodeB-2032,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1147,31.9196370,-94.4314663,true,LTE-ENodeB-2033,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1148,31.7878815,-94.3830359,true,LTE-ENodeB-2034,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1149,31.8301432,-94.0386628,true,LTE-ENodeB-2035,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S115,30.0292778,-96.5537146,true,LTE-ENodeB-1103,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1150,31.8538710,-94.2280269,true,LTE-ENodeB-2036,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1151,31.8136140,-94.3099262,true,LTE-ENodeB-2037,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1152,31.7778600,-94.1968909,true,LTE-ENodeB-2038,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1153,31.8069963,-94.1464262,true,LTE-ENodeB-2039,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1154,31.7666109,-94.1621092,true,LTE-ENodeB-2040,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1155,29.8189900,-95.4636833,true,LTE-ENodeB-2041,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1156,27.9146225,-97.1493898,true,LTE-ENodeB-206,Outdoor,45,2,AW3161,120,0,0,40,0,0,50
S1157,31.8264770,-94.1951233,true,LTE-ENodeB-2042,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1158,29.9044643,-95.4453174,true,LTE-ENodeB-2043,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
